"201429","MANHATTAN","812","1"
"201429","QUEENS","763","1"
"201429","STATEN ISLAND","103","1"
"201430",,"960","2"
"201430","BRONX","395","1"
"201430","BROOKLYN","904","1"
"201430","MANHATTAN","795","1"
"201430","QUEENS","768","3"
"201430","STATEN ISLAND","113","0"
"201431",,"991","2"
"201431","BRONX","337","0"
"201431","BROOKLYN","956","1"
"201431","MANHATTAN","857","0"
"201431","QUEENS","773","3"
"201431","STATEN ISLAND","121","1"
"201432",,"993","1"
"201432","BRONX","369","1"
"201432","BROOKLYN","880","0"
"201432","MANHATTAN","803","0"
"201432","QUEENS","822","0"
"201432","STATEN ISLAND","125","0"
"201433",,"900","1"
"201433","BRONX","348","0"
"201433","BROOKLYN","887","2"
"201433","MANHATTAN","778","0"
"201433","QUEENS","746","1"
"201433","STATEN ISLAND","119","0"
"201434",,"934","1"
"201434","BRONX","361","0"
"201434","BROOKLYN","826","0"
"201434","MANHATTAN","790","1"
"201434","QUEENS","690","1"
"201434","STATEN ISLAND","87","0"
"201435",,"976","4"
"201435","BRONX","386","0"
"201435","BROOKLYN","920","1"
"201435","MANHATTAN","750","2"
"201435","QUEENS","795","1"
"201435","STATEN ISLAND","121","0"
"201436",,"979","0"
"201436","BRONX","401","2"
"201436","BROOKLYN","1012","3"
"201436","MANHATTAN","766","3"
"201436","QUEENS","793","0"
"201436","STATEN ISLAND","125","0"
"201437",,"1041","3"
"201437","BRONX","398","0"
"201437","BROOKLYN","987","0"
"201437","MANHATTAN","813","0"
"201437","QUEENS","857","1"
"201437","STATEN ISLAND","142","0"
"201438",,"1097","1"
"201438","BRONX","392","1"
"201438","BROOKLYN","955","1"
"201438","MANHATTAN","886","1"
"201438","QUEENS","824","1"
"201438","STATEN ISLAND","131","0"
"201439",,"934","3"
"201439","BRONX","421","1"
"201439","BROOKLYN","944","1"
"201439","MANHATTAN","852","2"
"201439","QUEENS","790","1"
"201439","STATEN ISLAND","122","0"
"201440",,"934","2"
"201440","BRONX","374","1"
"201440","BROOKLYN","938","0"
"201440","MANHATTAN","793","0"
"201440","QUEENS","855","0"
"201440","STATEN ISLAND","132","0"
"201441",,"957","3"
"201441","BRONX","376","0"
"201441","BROOKLYN","895","1"
"201441","MANHATTAN","822","1"
"201441","QUEENS","776","0"
"201441","STATEN ISLAND","131","0"
"201442",,"1028","1"
"201442","BRONX","351","0"
"201442","BROOKLYN","854","0"
"201442","MANHATTAN","767","1"
"201442","QUEENS","816","1"
"201442","STATEN ISLAND","131","0"
"201443",,"955","1"
"201443","BRONX","373","1"
"201443","BROOKLYN","1063","3"
"201443","MANHATTAN","863","0"
"201443","QUEENS","841","0"
"201443","STATEN ISLAND","149","0"
"201444",,"966","1"
"201444","BRONX","386","0"
"201444","BROOKLYN","1032","1"
"201444","MANHATTAN","901","1"
"201444","QUEENS","842","2"
"201444","STATEN ISLAND","122","0"
"201445",,"974","4"
"201445","BRONX","349","0"
"201445","BROOKLYN","922","1"
"201445","MANHATTAN","783","0"
"201445","QUEENS","819","4"
"201445","STATEN ISLAND","125","0"
"201446",,"913","2"
"201446","BRONX","359","1"
"201446","BROOKLYN","890","0"
"201446","MANHATTAN","811","1"
"201446","QUEENS","805","0"
"201446","STATEN ISLAND","126","1"
"201447",,"1041","1"
"201447","BRONX","396","0"
"201447","BROOKLYN","982","2"
"201447","MANHATTAN","880","0"
"201447","QUEENS","828","1"
"201447","STATEN ISLAND","129","0"
"201448",,"900","2"
"201448","BRONX","358","1"
"201448","BROOKLYN","837","1"
"201448","MANHATTAN","696","2"
"201448","QUEENS","755","0"
"201448","STATEN ISLAND","110","0"
"201449",,"1053","0"
"201449","BRONX","388","0"
"201449","BROOKLYN","947","1"
"201449","MANHATTAN","927","1"
"201449","QUEENS","778","2"
"201449","STATEN ISLAND","129","0"
"201450",,"1053","1"
"201450","BRONX","407","0"
"201450","BROOKLYN","983","1"
"201450","MANHATTAN","884","0"
"201450","QUEENS","828","1"
"201450","STATEN ISLAND","102","0"
"201451",,"1017","0"
"201451","BRONX","403","0"
"201451","BROOKLYN","941","2"
"201451","MANHATTAN","825","0"
"201451","QUEENS","818","0"
"201451","STATEN ISLAND","101","0"
"201452",,"804","0"
"201452","BRONX","304","0"
"201452","BROOKLYN","814","1"
"201452","MANHATTAN","594","0"
"201452","QUEENS","692","0"
"201452","STATEN ISLAND","112","1"
"201501",,"702","2"
"201501","BRONX","296","1"
"201501","BROOKLYN","759","0"
"201501","MANHATTAN","571","2"
"201501","QUEENS","599","0"
"201501","STATEN ISLAND","85","0"
"201502",,"861","0"
"201502","BRONX","408","1"
"201502","BROOKLYN","955","2"
"201502","MANHATTAN","682","1"
"201502","QUEENS","900","0"
"201502","STATEN ISLAND","152","0"
"201503",,"1063","1"
"201503","BRONX","509","0"
"201503","BROOKLYN","926","0"
"201503","MANHATTAN","750","0"
"201503","QUEENS","860","3"
"201503","STATEN ISLAND","155","0"
"201504",,"777","0"
"201504","BRONX","335","0"
"201504","BROOKLYN","866","0"
"201504","MANHATTAN","632","2"
"201504","QUEENS","716","1"
"201504","STATEN ISLAND","103","0"
"201505",,"674","1"
"201505","BRONX","318","0"
"201505","BROOKLYN","784","0"
